INFO 2025-04-08 00:20:26,418 autoreload Watching for file changes with StatReloader
WARNING 2025-04-08 00:25:46,606 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:25:46,696 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:25:46,722 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:25:46,755 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:25:46,761 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:25:46,833 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:25:46,935 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:25:46,938 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:46,945 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:46,983 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:25:47,056 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:25:47,082 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:25:47,095 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:25:47,133 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,135 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:47,158 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
WARNING 2025-04-08 00:25:47,239 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,248 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:25:47,321 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:25:47,322 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:25:47,388 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:25:47,393 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:25:48,470 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:25:49,813 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:25:49,977 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:25:53,133 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:28:56,390 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\flights\models.py changed, reloading.
INFO 2025-04-08 00:28:57,575 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:29:29,932 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\leads\signals.py changed, reloading.
INFO 2025-04-08 00:29:30,999 autoreload Watching for file changes with StatReloader
WARNING 2025-04-08 00:29:52,290 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:29:52,291 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:29:52,954 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:29:52,979 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:29:52,981 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:29:53,072 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
WARNING 2025-04-08 00:29:53,179 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:53,186 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:53,208 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:29:53,222 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,267 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,268 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
WARNING 2025-04-08 00:29:53,286 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:53,287 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:53,408 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:29:53,416 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:29:53,576 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
INFO 2025-04-08 00:29:53,856 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
WARNING 2025-04-08 00:29:54,227 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:54,228 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
WARNING 2025-04-08 00:29:54,302 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:29:54,304 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:29:55,462 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:29:56,705 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:29:56,797 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:29:59,871 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:30:37,497 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\flights\models.py changed, reloading.
INFO 2025-04-08 00:30:38,754 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:30:47,346 autoreload C:\Personal Data\IT-Projects\Arazit-SaaS\backend\leads\signals.py changed, reloading.
INFO 2025-04-08 00:30:48,444 autoreload Watching for file changes with StatReloader
WARNING 2025-04-08 00:30:51,592 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:30:51,593 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:30:52,391 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:30:52,394 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:30:52,560 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:30:52,704 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:30:52,827 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:30:52,837 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:30:52,891 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
WARNING 2025-04-08 00:30:53,256 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:30:53,257 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:30:54,588 basehttp "GET /api/auth/users/ HTTP/1.1" 200 3456
INFO 2025-04-08 00:30:55,775 basehttp "GET /api/leads/ HTTP/1.1" 200 10198
INFO 2025-04-08 00:32:30,782 autoreload Watching for file changes with StatReloader
INFO 2025-04-08 00:32:39,430 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
WARNING 2025-04-08 00:32:40,093 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:32:40,094 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
INFO 2025-04-08 00:32:40,370 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/ HTTP/1.1" 200 2110
INFO 2025-04-08 00:32:40,439 basehttp "GET /api/flights/ HTTP/1.1" 200 52
WARNING 2025-04-08 00:32:40,464 log Not Found: /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/
WARNING 2025-04-08 00:32:40,465 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/notes/ HTTP/1.1" 404 56463
WARNING 2025-04-08 00:32:40,752 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:40,753 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:40,795 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
WARNING 2025-04-08 00:32:40,865 log Not Found: /api/auth/users/active-by-tenant/
WARNING 2025-04-08 00:32:40,867 basehttp "GET /api/auth/users/active-by-tenant/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 404 23
INFO 2025-04-08 00:32:40,881 basehttp "GET /api/leads/ecfeba5f-9bd1-4757-921a-226330aab3ac/activities/ HTTP/1.1" 200 2
INFO 2025-04-08 00:32:40,901 basehttp "GET /api/flights/ HTTP/1.1" 200 52
INFO 2025-04-08 00:32:41,010 basehttp "GET /api/lead-documents/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 52
INFO 2025-04-08 00:32:41,080 basehttp "GET /api/lead-notes/?lead=ecfeba5f-9bd1-4757-921a-226330aab3ac HTTP/1.1" 200 674
INFO 2025-04-08 00:32:41,080 basehttp "GET /api/auth/branches/?tenant=ce781194-477e-4cb0-bf67-b438b735b81b HTTP/1.1" 200 577
